device,subject,browser,batterystats_Joule_calculated,size
pixel3,https-duckduckgo-com,chrome,48.3072408,S
pixel3,https-fc2-com,chrome,47.4329016,S
pixel3,https-kakaku-com,chrome,57.1651296,L
pixel3,https-missouri-edu,chrome,51.1384344,M
pixel3,https-pixabay-com,chrome,48.6195048,S
pixel3,https-steamcommunity-com,chrome,49.754064,L
pixel3,https-store-steampowered-com,chrome,50.9927112,M
pixel3,https-telegram-org,chrome,48.0990648,S
pixel3,https-utk-edu,chrome,47.516172,S
pixel3,https-www-booking-com,chrome,53.6989992,M
pixel3,https-www-colorado-edu,chrome,48.8380896,S
pixel3,https-www-homedepot-com,chrome,55.2603192,M
pixel3,https-www-indeed-ae,chrome,49.8165168,M
pixel3,https-www-ltn-com-tw,chrome,66.7516344,L
pixel3,https-www-mdpi-com,chrome,53.4908232,M
pixel3,https-www-netflix-com,chrome,48.9942216,L
pixel3,https-www-nih-gov,chrome,49.2232152,S
pixel3,https-www-office-com,chrome,51.4506984,S
pixel3,https-www-osha-gov,chrome,49.3168944,M
pixel3,https-www-raspberrypi-org,chrome,56.0617968,M
pixel3,https-www-researchgate-net,chrome,48.6715488,L
pixel3,https-www-sindonews-com,chrome,56.3428344,M
pixel3,https-www-thetimes-co-uk,chrome,55.4997216,L
pixel3,https-www-tistory-com,chrome,67.9902816,L
pixel3,https-www-ucsc-edu,chrome,51.419472,S
pixel3,https-www-worldbank-org,chrome,51.5860128,L
pixel3,https-www-yelp-com,chrome,50.6284032,L
